country,year,iso_code,population,gdp,energy_per_gdp,primary_energy_consumption,electricity_generation,energy_per_capita,greenhouse_gas_emissions,fossil_fuel_consumption,renewables_consumption,renewables_share_energy,decade
Algeria,2000,DZA,30774624.0,208554147840.0,1.438,299.946,23.89,9746.524,12.14,299.786,0.16,0.053,Década 2000
Algeria,2001,DZA,31200984.0,223420301312.0,1.391,310.813,25.03,9961.64,12.67,310.61,0.203,0.065,Década 2000
Algeria,2002,DZA,31624700.0,245360885760.0,1.312,321.951,26.0,10180.35,13.19,321.784,0.166,0.052,Década 2000
Algeria,2003,DZA,32055882.0,273568645120.0,1.232,336.922,27.8,10510.461,14.01,336.154,0.769,0.228,Década 2000
Algeria,2004,DZA,32510184.0,296773615616.0,1.179,349.778,29.39,10759.022,14.79,349.055,0.723,0.207,Década 2000
Algeria,2005,DZA,32956690.0,326854475776.0,1.121,366.272,31.91,11113.723,15.97,364.681,1.59,0.434,Década 2000
Algeria,2006,DZA,33435082.0,345705349120.0,1.097,379.22,33.12,11341.98,16.68,378.601,0.619,0.163,Década 2000
Algeria,2007,DZA,33983836.0,371665207296.0,1.075,399.64,34.97,11759.701,17.68,399.001,0.639,0.16,Década 2000
Algeria,2008,DZA,34569592.0,395658559488.0,1.071,423.557,37.83,12252.297,19.14,422.762,0.795,0.188,Década 2000
Algeria,2009,DZA,35196040.0,418247671808.0,1.073,448.859,36.21,12753.12,18.23,447.904,0.955,0.213,Década 2000
Algeria,2010,DZA,35856348.0,450705883136.0,0.974,438.995,42.99,12243.156,21.65,438.489,0.505,0.115,Década 2010
Algeria,2011,DZA,36543548.0,482034778112.0,0.964,464.488,48.17,12710.541,24.16,463.396,1.093,0.235,Década 2010
Algeria,2012,DZA,37260568.0,497923358720.0,1.02,507.672,53.98,13624.909,26.97,506.532,1.14,0.225,Década 2010
Algeria,2013,DZA,38000628.0,511887736832.0,1.049,536.977,56.32,14130.735,28.41,536.629,0.348,0.065,Década 2010
Algeria,2014,DZA,38760168.0,531308085248.0,1.102,585.613,60.4,15108.635,30.52,584.925,0.688,0.118,Década 2010
Algeria,2015,DZA,39543148.0,551519125504.0,1.12,617.518,64.68,15616.311,32.61,616.92,0.598,0.097,Década 2010
Algeria,2016,DZA,40339328.0,574696128512.0,1.074,616.996,66.77,15295.143,33.65,616.096,0.9,0.146,Década 2010
Algeria,2017,DZA,41136548.0,582167232512.0,1.072,623.795,71.5,15164.0,36.0,622.254,1.541,0.247,Década 2010
Algeria,2018,DZA,41927008.0,590317551616.0,1.134,669.62,72.1,15971.084,36.13,667.688,1.931,0.288,Década 2010
Argentina,2000,ARG,37070772.0,536481038336.0,1.303,698.777,85.25,18849.811,26.64,595.418,85.832,12.283,Década 2000
Argentina,2001,ARG,37480492.0,515221291008.0,1.325,682.524,86.49,18210.119,22.69,553.856,108.769,15.936,Década 2000
Argentina,2002,ARG,37885024.0,461203406848.0,1.419,654.474,81.15,17275.256,20.88,531.831,106.339,16.248,Década 2000
Argentina,2003,ARG,38278164.0,504301027328.0,1.391,701.506,88.14,18326.521,24.46,579.387,101.063,14.407,Década 2000
Argentina,2004,ARG,38668796.0,552377778176.0,1.348,744.817,95.69,19261.457,30.43,632.297,90.76,12.186,Década 2000
Argentina,2005,ARG,39070504.0,604065431552.0,1.309,790.507,100.86,20232.844,32.25,670.516,101.106,12.79,Década 2000
Argentina,2006,ARG,39476856.0,655699017728.0,1.267,830.543,111.4,21038.723,35.68,697.754,111.707,13.45,Década 2000
Argentina,2007,ARG,39876116.0,718084636672.0,1.205,865.645,110.85,21708.369,39.83,754.091,91.872,10.613,Década 2000
Argentina,2008,ARG,40273768.0,750663630848.0,1.169,877.178,114.75,21780.381,42.03,765.599,91.641,10.447,Década 2000
